year,week,date_start,date_end,release_table,release_puf
2021,25,2021-02-17,2021-03-01,2021-03-10,2021-03-24
2021,24,2021-02-03,2021-02-15,2021-02-24,2021-03-10
2021,23,2021-01-20,2021-02-01,2021-02-10,2021-02-24
2021,22,2021-01-06,2021-01-18,2021-01-27,2021-02-10
2020,21,2020-12-09,2020-12-21,2021-01-06,2021-01-13
2020,20,2020-11-25,2020-12-07,2020-12-16,2021-01-06
2020,19,2020-11-11,2020-11-23,2020-12-02,2020-12-16
2020,18,2020-10-28,2020-11-09,2020-11-18,2020-12-02
2020,17,2020-10-14,2020-10-26,2020-11-04,2020-11-18
2020,16,2020-09-30,2020-10-12,2020-10-21,2020-11-04
2020,15,2020-09-16,2020-09-28,2020-10-07,2020-10-21
2020,14,2020-09-02,2020-09-14,2020-09-23,2020-10-07
2020,13,2020-08-19,2020-08-31,2020-09-09,2020-09-23
2020,12,2020-07-16,2020-07-21,2020-07-29,2020-07-29
2020,11,2020-07-09,2020-07-14,2020-07-22,2020-07-29
2020,10,2020-07-02,2020-07-07,2020-07-15,2020-07-22
2020,9,2020-06-25,2020-06-30,2020-07-08,2020-07-15
2020,8,2020-06-18,2020-06-23,2020-07-01,2020-07-08
2020,7,2020-06-11,2020-06-16,2020-06-24,2020-07-01
2020,6,2020-06-04,2020-06-09,2020-06-17,2020-06-24
2020,5,2020-05-28,2020-06-02,2020-06-10,2020-06-17
2020,4,2020-05-21,2020-05-26,2020-06-03,2020-06-10
2020,3,2020-05-14,2020-05-19,2020-05-27,2020-06-03
2020,2,2020-05-07,2020-05-12,2020-05-20,2020-05-29
2020,1,2020-04-23,2020-05-05,2020-05-20,2020-05-29
